DATE,APPNAME,API,STATUS,COUNT
04-07-23,App1,API18,F,8
04-07-23,App1,API19,S,680
04-07-23,App1,API19,F,87
04-07-23,App10,API24,F,12
04-07-23,App100,API17,S,3398
04-07-23,App100,API18,S,14326
04-07-23,App100,API18,F,4552
04-07-23,App100,API19,S,8447
04-07-23,App100,API19,F,5756
04-07-23,App100,API24,S,17
04-07-23,App100,API26,S,18878
04-07-23,App100,API26,F,2608
04-07-23,App100,API7,S,5309
04-07-23,App100,API7,F,12
04-07-23,App101,API15,F,3
04-07-23,App102,API15,S,83711
04-07-23,App102,API15,F,254
04-07-23,App103,API18,S,625
04-07-23,App103,API18,F,153
04-07-23,App103,API19,S,178
04-07-23,App103,API19,F,15
04-07-23,App104,API15,S,47735
04-07-23,App104,API15,F,5147
04-07-23,App104,API18,S,3512
04-07-23,App104,API18,F,1305
04-07-23,App104,API19,S,1766
04-07-23,App104,API19,F,1245
04-07-23,App105,API15,S,1726
04-07-23,App105,API15,F,147
04-07-23,App106,API10,S,6
04-07-23,App106,API15,S,4292769
04-07-23,App106,API15,F,57559
04-07-23,App106,API2,S,437202
04-07-23,App107,API17,S,19040
04-07-23,App107,API17,F,3
04-07-23,App107,API24,S,8
04-07-23,App107,API7,S,6
04-07-23,App108,API1,S,472960
04-07-23,App108,API1,F,4
04-07-23,App108,API11,S,403303
04-07-23,App108,API11,F,1923
04-07-23,App108,API14,S,417526
04-07-23,App108,API14,F,1
04-07-23,App108,API17,S,2072083
04-07-23,App108,API17,F,425713
04-07-23,App108,API2,S,9
04-07-23,App108,API22,S,489491
04-07-23,App108,API22,S,152115
04-07-23,App108,API22,F,110512
04-07-23,App108,API22,F,3664
04-07-23,App108,API23,S,417527
04-07-23,App108,API24,S,9
04-07-23,App108,API24,S,2
04-07-23,App108,API25,S,705155
04-07-23,App108,API25,F,182
04-07-23,App108,API27,S,186911
04-07-23,App108,API27,F,3
04-07-23,App108,API3,S,238849
04-07-23,App108,API4,S,403285
04-07-23,App108,API5,S,358491
04-07-23,App108,API6,S,179244
04-07-23,App109,API18,S,39
04-07-23,App109,API18,F,5
04-07-23,App109,API19,S,31
04-07-23,App109,API19,F,23
04-07-23,App11,API24,F,14
04-07-23,App110,API10,S,350
04-07-23,App110,API10,F,111
04-07-23,App111,API10,S,9464
04-07-23,App111,API10,F,464
04-07-23,App111,API15,S,328
04-07-23,App111,API15,F,3
04-07-23,App111,API24,S,42
04-07-23,App111,API24,F,9
04-07-23,App112,API24,S,2225
04-07-23,App112,API24,F,237
04-07-23,App112,API7,S,4
04-07-23,App12,API24,F,22
04-07-23,App13,API15,S,61306
04-07-23,App13,API15,F,2088
04-07-23,App14,API15,S,2
04-07-23,App15,API15,S,12203
04-07-23,App16,API15,F,880673
04-07-23,App17,API15,S,54087
04-07-23,App17,API15,F,247
04-07-23,App17,API7,S,53774
04-07-23,App17,API7,F,22
04-07-23,App18,API7,S,1
04-07-23,App19,API15,S,4
04-07-23,App19,API7,S,4
04-07-23,App2,API12,S,12594166
04-07-23,App2,API12,F,482142
04-07-23,App2,API12,SE,4
04-07-23,App2,API15,S,1607
04-07-23,App2,API15,F,42
04-07-23,App2,API17,S,1599232
04-07-23,App2,API17,F,52
04-07-23,App2,API18,S,1355822
04-07-23,App2,API18,F,144324
04-07-23,App2,API18,SE,1
04-07-23,App2,API19,S,1112928
04-07-23,App2,API19,F,167794
04-07-23,App2,API23,S,93744
04-07-23,App2,API24,S,21
04-07-23,App2,API7,S,178038
04-07-23,App2,API7,F,2980
04-07-23,App20,API15,S,29026
04-07-23,App20,API15,F,81
04-07-23,App20,API7,S,28979
04-07-23,App20,API7,F,9
04-07-23,App21,API15,S,300581
04-07-23,App21,API15,F,635
04-07-23,App21,API7,S,126464
04-07-23,App21,API7,F,31
04-07-23,App22,API12,S,2546
04-07-23,App22,API12,F,66
04-07-23,App22,API15,S,3297
04-07-23,App22,API15,F,33
04-07-23,App22,API7,S,1248496
04-07-23,App22,API7,F,3029
04-07-23,App23,API15,S,137561
04-07-23,App23,API15,F,298
04-07-23,App23,API7,S,136085
04-07-23,App23,API7,F,30
04-07-23,App24,API15,S,24506
04-07-23,App24,API15,F,158
04-07-23,App25,API15,S,24129
04-07-23,App25,API15,F,151
04-07-23,App25,API7,S,24160
04-07-23,App25,API7,F,6
04-07-23,App26,API15,S,65329
04-07-23,App26,API15,F,134
04-07-23,App26,API7,S,65150
04-07-23,App26,API7,F,16
04-07-23,App27,API15,S,169866
04-07-23,App27,API15,F,47778
04-07-23,App27,API7,S,167622
04-07-23,App27,API7,F,52
04-07-23,App28,API15,S,180406
04-07-23,App28,API15,F,254
04-07-23,App28,API7,S,168539
04-07-23,App28,API7,F,47
04-07-23,App29,API10,S,118
04-07-23,App29,API10,F,12
04-07-23,App3,API10,S,58
04-07-23,App3,API10,F,5
04-07-23,App3,API12,S,7028757
04-07-23,App3,API12,F,98144
04-07-23,App3,API14,S,5
04-07-23,App3,API15,S,33920
04-07-23,App3,API15,F,964
04-07-23,App3,API17,F,1
04-07-23,App3,API18,S,1295
