DATE,APPNAME,API,SUM_COUNT,zsc,Anomaly
04-07-2023,App1,API18,8,-0.31608529,0
05-07-2023,App1,API18,9,-0.296613369,0
06-07-2023,App1,API18,5,-0.374501052,0
07-07-2023,App1,API18,18,-0.121366082,0
08-07-2023,App1,API18,17,-0.140838003,0
09-07-2023,App1,API18,25,0.014937364,0
10-07-2023,App1,API18,24,-0.004534557,0
11-07-2023,App1,API18,14,-0.199253765,0
12-07-2023,App1,API18,29,0.092825047,0
13-07-2023,App1,API18,6,-0.355029132,0
14-07-2023,App1,API18,23,-0.024006478,0
15-07-2023,App1,API18,15,-0.179781844,0
16-07-2023,App1,API18,22,-0.043478399,0
17-07-2023,App1,API18,15,-0.179781844,0
18-07-2023,App1,API18,17,-0.140838003,0
19-07-2023,App1,API18,7,-0.335557211,0
20-07-2023,App1,API18,8,-0.31608529,0
21-07-2023,App1,API18,14,-0.199253765,0
22-07-2023,App1,API18,5,-0.374501052,0
23-07-2023,App1,API18,21,-0.062950319,0
24-07-2023,App1,API18,11,-0.257669527,0
25-07-2023,App1,API18,45,0.40437578,0
26-07-2023,App1,API18,54,0.579623067,0
27-07-2023,App1,API18,221,3.831433843,1
28-07-2023,App1,API18,6,-0.355029132,0
29-07-2023,App1,API18,20,-0.08242224,0
30-07-2023,App1,API18,12,-0.238197607,0
31-07-2023,App1,API18,11,-0.257669527,0
01-08-2023,App1,API18,8,-0.31608529,0
02-08-2023,App1,API18,11,-0.257669527,0
03-08-2023,App1,API18,3,-0.413444894,0
04-08-2023,App1,API18,15,-0.179781844,0
05-08-2023,App1,API18,14,-0.199253765,0
06-08-2023,App1,API18,10,-0.277141448,0
07-08-2023,App1,API18,12,-0.238197607,0
08-08-2023,App1,API18,18,-0.121366082,0
09-08-2023,App1,API18,10,-0.277141448,0
10-08-2023,App1,API18,8,-0.31608529,0
11-08-2023,App1,API18,25,0.014937364,0
12-08-2023,App1,API18,15,-0.179781844,0
13-08-2023,App1,API18,13,-0.218725686,0
14-08-2023,App1,API18,37,0.248600414,0
15-08-2023,App1,API18,17,-0.140838003,0
16-08-2023,App1,API18,393,7.180604223,1
17-08-2023,App1,API18,12,-0.238197607,0
18-08-2023,App1,API18,10,-0.277141448,0
19-08-2023,App1,API18,20,-0.08242224,0
20-08-2023,App1,API18,69,0.87170188,0
21-08-2023,App1,API18,31,0.131768889,0
22-08-2023,App1,API18,33,0.17071273,0
23-08-2023,App1,API18,11,-0.257669527,0
24-08-2023,App1,API18,32,0.15124081,0
25-08-2023,App1,API18,8,-0.31608529,0
26-08-2023,App1,API18,10,-0.277141448,0
27-08-2023,App1,API18,7,-0.335557211,0
28-08-2023,App1,API18,8,-0.31608529,0
29-08-2023,App1,API18,10,-0.277141448,0
30-08-2023,App1,API18,8,-0.31608529,0
31-08-2023,App1,API18,10,-0.277141448,0
01-09-2023,App1,API18,77,1.027477246,0
02-09-2023,App1,API18,15,-0.179781844,0
03-09-2023,App1,API18,6,-0.355029132,0
04-09-2023,App1,API18,16,-0.160309923,0
05-09-2023,App1,API18,15,-0.179781844,0
07-09-2023,App1,API18,8,-0.31608529,0
08-09-2023,App1,API18,5,-0.374501052,0
10-09-2023,App1,API18,1,-0.452388736,0
14-09-2023,App1,API18,1,-0.452388736,0
15-09-2023,App1,API18,19,-0.101894161,0
16-09-2023,App1,API18,5,-0.374501052,0
17-09-2023,App1,API18,15,-0.179781844,0
18-09-2023,App1,API18,15,-0.179781844,0
19-09-2023,App1,API18,1,-0.452388736,0
04-07-2023,App1,API19,767,-0.064872902,0
05-07-2023,App1,API19,723,-0.150079102,0
06-07-2023,App1,API19,799,-0.002904757,0
07-07-2023,App1,API19,799,-0.002904757,0
08-07-2023,App1,API19,589,-0.409570711,0
09-07-2023,App1,API19,390,-0.794935115,0
10-07-2023,App1,API19,827,0.05131737,0
11-07-2023,App1,API19,728,-0.140396579,0
12-07-2023,App1,API19,3242,4.727975845,1
13-07-2023,App1,API19,835,0.066809407,0
14-07-2023,App1,API19,802,0.002904757,0
15-07-2023,App1,API19,718,-0.159761625,0
16-07-2023,App1,API19,404,-0.767824052,0
17-07-2023,App1,API19,831,0.059063389,0
18-07-2023,App1,API19,802,0.002904757,0
19-07-2023,App1,API19,786,-0.028079316,0
20-07-2023,App1,API19,780,-0.039698343,0
21-07-2023,App1,API19,726,-0.144269589,0
22-07-2023,App1,API19,713,-0.169444148,0
23-07-2023,App1,API19,3543,5.310863713,1
24-07-2023,App1,API19,2879,4.025024696,1
25-07-2023,App1,API19,759,-0.080364939,0
26-07-2023,App1,API19,751,-0.095856975,0
27-07-2023,App1,API19,635,-0.320491502,0
28-07-2023,App1,API19,736,-0.124904543,0
29-07-2023,App1,API19,553,-0.479284875,0
30-07-2023,App1,API19,348,-0.876268306,0
31-07-2023,App1,API19,788,-0.024206307,0
01-08-2023,App1,API19,693,-0.208174239,0
02-08-2023,App1,API19,716,-0.163634634,0
03-08-2023,App1,API19,675,-0.24303132,0
04-08-2023,App1,API19,736,-0.124904543,0
05-08-2023,App1,API19,640,-0.310808979,0
06-08-2023,App1,API19,369,-0.835601711,0
07-08-2023,App1,API19,960,0.308872475,0
08-08-2023,App1,API19,880,0.153952111,0
09-08-2023,App1,API19,807,0.01258728,0
10-08-2023,App1,API19,881,0.155888616,0
11-08-2023,App1,API19,822,0.041634848,0
12-08-2023,App1,API19,592,-0.403761198,0
13-08-2023,App1,API19,339,-0.893696847,0
14-08-2023,App1,API19,851,0.097793479,0
15-08-2023,App1,API19,355,-0.862712775,0
16-08-2023,App1,API19,376,-0.822046179,0
17-08-2023,App1,API19,828,0.053253875,0
18-08-2023,App1,API19,1052,0.487030893,0
19-08-2023,App1,API19,629,-0.332110529,0
20-08-2023,App1,API19,369,-0.835601711,0
21-08-2023,App1,API19,858,0.111349011,0
22-08-2023,App1,API19,759,-0.080364939,0
23-08-2023,App1,API19,752,-0.09392047,0
24-08-2023,App1,API19,965,0.318554998,0
25-08-2023,App1,API19,882,0.15782512,0
26-08-2023,App1,API19,650,-0.291443934,0
27-08-2023,App1,API19,243,-1.079601283,0
28-08-2023,App1,API19,711,-0.173317157,0
29-08-2023,App1,API19,826,0.049380866,0
30-08-2023,App1,API19,694,-0.206237734,0
31-08-2023,App1,API19,783,-0.03388883,0
01-09-2023,App1,API19,780,-0.039698343,0
02-09-2023,App1,API19,645,-0.301126457,0
03-09-2023,App1,API19,347,-0.878204811,0
04-09-2023,App1,API19,774,-0.05131737,0
05-09-2023,App1,API19,815,0.028079316,0
06-09-2023,App1,API19,854,0.103602993,0
07-09-2023,App1,API19,813,0.024206307,0
08-09-2023,App1,API19,855,0.105539498,0
09-09-2023,App1,API19,894,0.181063175,0
10-09-2023,App1,API19,354,-0.864649279,0
11-09-2023,App1,API19,759,-0.080364939,0
12-09-2023,App1,API19,766,-0.066809407,0
13-09-2023,App1,API19,796,-0.00871427,0
14-09-2023,App1,API19,728,-0.140396579,0
15-09-2023,App1,API19,697,-0.20042822,0
16-09-2023,App1,API19,621,-0.347602566,0
17-09-2023,App1,API19,364,-0.845284234,0
18-09-2023,App1,API19,828,0.053253875,0
19-09-2023,App1,API19,803,0.004841261,0
04-07-2023,App2,API12,13076312,-0.521288531,0
05-07-2023,App2,API12,12776964,-0.984661159,0
06-07-2023,App2,API12,12979786,-0.67070495,0
07-07-2023,App2,API12,13067722,-0.534585332,0
08-07-2023,App2,API12,13210657,-0.313330583,0
09-07-2023,App2,API12,13592826,0.278243952,0
10-07-2023,App2,API12,13003740,-0.633625605,0
11-07-2023,App2,API12,12743305,-1.036763258,0
12-07-2023,App2,API12,12784606,-0.972831804,0
13-07-2023,App2,API12,13354596,-0.090521703,0
14-07-2023,App2,API12,12925470,-0.754782838,0
15-07-2023,App2,API12,12948041,-0.719844293,0
16-07-2023,App2,API12,13353987,-0.091464398,0
17-07-2023,App2,API12,12530768,-1.3657577,0
18-07-2023,App2,API12,12902313,-0.790628476,0
19-07-2023,App2,API12,12496112,-1.419403096,0
20-07-2023,App2,API12,12484690,-1.437083662,0
21-07-2023,App2,API12,12422603,-1.533190589,0
22-07-2023,App2,API12,12836444,-0.89258971,0
23-07-2023,App2,API12,13963376,0.851832976,0
24-07-2023,App2,API12,12604204,-1.252083207,0
25-07-2023,App2,API12,12554008,-1.329783584,0
26-07-2023,App2,API12,12723329,-1.0676849,0
27-07-2023,App2,API12,13124828,-0.446188692,0
28-07-2023,App2,API12,12764667,-1.003696172,0
29-07-2023,App2,API12,13092853,-0.495684062,0
30-07-2023,App2,API12,13454582,0.064250588,0
31-07-2023,App2,API12,12940617,-0.731336197,0
01-08-2023,App2,API12,13535141,0.188951055,0
02-08-2023,App2,API12,13650438,0.367423849,0
03-08-2023,App2,API12,13368524,-0.068962,0
04-08-2023,App2,API12,12928092,-0.750724141,0
05-08-2023,App2,API12,13745664,0.514827947,0
06-08-2023,App2,API12,14339549,1.434126065,0
07-08-2023,App2,API12,13037353,-0.58159471,0
08-08-2023,App2,API12,13293669,-0.18483302,0
09-08-2023,App2,API12,13176476,-0.366240707,0
10-08-2023,App2,API12,13435901,0.035333528,0
11-08-2023,App2,API12,13481868,0.106487668,0
12-08-2023,App2,API12,13521025,0.167100339,0
13-08-2023,App2,API12,14162216,1.159625289,0
14-08-2023,App2,API12,14585732,1.815202484,0
15-08-2023,App2,API12,14585030,1.81411583,0
16-08-2023,App2,API12,13396042,-0.026365797,0
17-08-2023,App2,API12,13418053,0.007705901,0
18-08-2023,App2,API12,13021966,-0.605412857,0
19-08-2023,App2,API12,13410120,-0.004573904,0
20-08-2023,App2,API12,13435876,0.035294829,0
21-08-2023,App2,API12,12852753,-0.867344363,0
22-08-2023,App2,API12,13036814,-0.58242905,0
23-08-2023,App2,API12,13020395,-0.60784467,0
24-08-2023,App2,API12,13205029,-0.322042387,0
25-08-2023,App2,API12,13080062,-0.515483757,0
26-08-2023,App2,API12,13355727,-0.088770983,0
27-08-2023,App2,API12,13326860,-0.133455356,0
28-08-2023,App2,API12,13384606,-0.044068035,0
29-08-2023,App2,API12,13430880,0.027561323,0
30-08-2023,App2,API12,13349825,-0.097906923,0
31-08-2023,App2,API12,12860535,-0.855298297,0
01-09-2023,App2,API12,13578505,0.256075909,0
02-09-2023,App2,API12,13965016,0.854371597,0
03-09-2023,App2,API12,13475086,0.095989541,0
04-09-2023,App2,API12,13121094,-0.451968699,0
05-09-2023,App2,API12,12948985,-0.718383038,0
06-09-2023,App2,API12,13233349,-0.278204737,0
07-09-2023,App2,API12,13524352,0.172250335,0
08-09-2023,App2,API12,13157438,-0.395710381,0
09-09-2023,App2,API12,13930865,0.801507911,0
10-09-2023,App2,API12,15444707,3.144843915,1
11-09-2023,App2,API12,14450726,1.606221348,0
12-09-2023,App2,API12,14762571,2.088938577,0
13-09-2023,App2,API12,14720151,2.023274979,0
14-09-2023,App2,API12,14814833,2.169836998,0
15-09-2023,App2,API12,14602011,1.840401393,0
16-09-2023,App2,API12,14637442,1.895246441,0
17-09-2023,App2,API12,14441972,1.592670685,0
18-09-2023,App2,API12,13713941,0.465722658,0
19-09-2023,App2,API12,14551166,1.761696403,0
04-07-2023,App2,API15,1649,0.102834473,0
05-07-2023,App2,API15,1613,-0.040755383,0
06-07-2023,App2,API15,1681,0.2304699,0
07-07-2023,App2,API15,1589,-0.136481953,0
08-07-2023,App2,API15,1664,0.162663579,0
09-07-2023,App2,API15,1629,0.023062331,0
