DATE,APPNAME,API,STATUS,COUNT
2023-07-04,App1,API18,F,8
2023-07-04,App1,API19,S,680
2023-07-04,App1,API19,F,87
2023-07-04,App10,API24,F,12
2023-07-04,App100,API17,S,3398
2023-07-04,App100,API18,S,14326
2023-07-04,App100,API18,F,4552
2023-07-04,App100,API19,S,8447
2023-07-04,App100,API19,F,5756
2023-07-04,App100,API24,S,17
2023-07-04,App100,API26,S,18878
2023-07-04,App100,API26,F,2608
2023-07-04,App100,API7,S,5309
2023-07-04,App100,API7,F,12
2023-07-04,App101,API15,F,3
2023-07-04,App102,API15,S,83711
2023-07-04,App102,API15,F,254
2023-07-04,App103,API18,S,625
2023-07-04,App103,API18,F,153
2023-07-04,App103,API19,S,178
2023-07-04,App103,API19,F,15
2023-07-04,App104,API15,S,47735
2023-07-04,App104,API15,F,5147
2023-07-04,App104,API18,S,3512
2023-07-04,App104,API18,F,1305
2023-07-04,App104,API19,S,1766
2023-07-04,App104,API19,F,1245
2023-07-04,App105,API15,S,1726
2023-07-04,App105,API15,F,147
2023-07-04,App106,API10,S,6
2023-07-04,App106,API15,S,4292769
2023-07-04,App106,API15,F,57559
2023-07-04,App106,API2,S,437202
2023-07-04,App107,API17,S,19040
2023-07-04,App107,API17,F,3
2023-07-04,App107,API24,S,8
2023-07-04,App107,API7,S,6
2023-07-04,App108,API1,S,472960
2023-07-04,App108,API1,F,4
2023-07-04,App108,API11,S,403303
2023-07-04,App108,API11,F,1923
2023-07-04,App108,API14,S,417526
2023-07-04,App108,API14,F,1
2023-07-04,App108,API17,S,2072083
2023-07-04,App108,API17,F,425713
2023-07-04,App108,API2,S,9
2023-07-04,App108,API22,S,489491
2023-07-04,App108,API22,S,152115
2023-07-04,App108,API22,F,110512
2023-07-04,App108,API22,F,3664
2023-07-04,App108,API23,S,417527
2023-07-04,App108,API24,S,9
2023-07-04,App108,API24,S,2
2023-07-04,App108,API25,S,705155
2023-07-04,App108,API25,F,182
2023-07-04,App108,API27,S,186911
2023-07-04,App108,API27,F,3
2023-07-04,App108,API3,S,238849
2023-07-04,App108,API4,S,403285
2023-07-04,App108,API5,S,358491
2023-07-04,App108,API6,S,179244
2023-07-04,App109,API18,S,39
2023-07-04,App109,API18,F,5
2023-07-04,App109,API19,S,31
2023-07-04,App109,API19,F,23
2023-07-04,App11,API24,F,14
2023-07-04,App110,API10,S,350
2023-07-04,App110,API10,F,111
2023-07-04,App111,API10,S,9464
2023-07-04,App111,API10,F,464
2023-07-04,App111,API15,S,328
2023-07-04,App111,API15,F,3
2023-07-04,App111,API24,S,42
2023-07-04,App111,API24,F,9
2023-07-04,App112,API24,S,2225
2023-07-04,App112,API24,F,237
2023-07-04,App112,API7,S,4
2023-07-04,App12,API24,F,22
